HSA_CODE,HSA_NAME,HSA_NAME_FORMATTED,ZONE_CODE,ZONE_NAME,FY,INC_RT
HSA2.1.D,CALGARY - LOWER NW,Calgary - Lower NW,Z2,CALGARY,2020,40.9
HSA2.1.D,CALGARY - LOWER NW,Calgary - Lower NW,Z2,CALGARY,All,34.9
HSA2.1.EF,CALGARY - CENTRE NORTH/WEST BOW,Calgary - Centre North/West BOW,Z2,CALGARY,2016,34
HSA2.1.EF,CALGARY - CENTRE NORTH/WEST BOW,Calgary - Centre North/West BOW,Z2,CALGARY,2017,44.5
HSA2.1.EF,CALGARY - CENTRE NORTH/WEST BOW,Calgary - Centre North/West BOW,Z2,CALGARY,2018,19.6
HSA2.1.EF,CALGARY - CENTRE NORTH/WEST BOW,Calgary - Centre North/West BOW,Z2,CALGARY,2019,35.5
HSA2.1.EF,CALGARY - CENTRE NORTH/WEST BOW,Calgary - Centre North/West BOW,Z2,CALGARY,2020,48
HSA2.1.EF,CALGARY - CENTRE NORTH/WEST BOW,Calgary - Centre North/West BOW,Z2,CALGARY,All,36.4
HSA2.2.A,CALGARY - UPPER NE,Calgary - Upper NE,Z2,CALGARY,2016,49.2
HSA2.2.A,CALGARY - UPPER NE,Calgary - Upper NE,Z2,CALGARY,2017,46.7
HSA2.2.A,CALGARY - UPPER NE,Calgary - Upper NE,Z2,CALGARY,2018,53
HSA2.2.A,CALGARY - UPPER NE,Calgary - Upper NE,Z2,CALGARY,2019,44.3
HSA2.2.A,CALGARY - UPPER NE,Calgary - Upper NE,Z2,CALGARY,2020,70.4
HSA2.2.A,CALGARY - UPPER NE,Calgary - Upper NE,Z2,CALGARY,All,52.9
HSA2.2.B,CALGARY - LOWER NE,Calgary - Lower NE,Z2,CALGARY,2016,31.9
HSA2.2.B,CALGARY - LOWER NE,Calgary - Lower NE,Z2,CALGARY,2017,22.6
HSA2.2.B,CALGARY - LOWER NE,Calgary - Lower NE,Z2,CALGARY,2018,21.5
HSA2.2.B,CALGARY - LOWER NE,Calgary - Lower NE,Z2,CALGARY,2019,28.4
HSA2.2.B,CALGARY - LOWER NE,Calgary - Lower NE,Z2,CALGARY,2020,38.2
HSA2.2.B,CALGARY - LOWER NE,Calgary - Lower NE,Z2,CALGARY,All,28.5
HSA2.3.A,CALGARY - EAST,Calgary - East,Z2,CALGARY,2016,23.9
HSA2.3.A,CALGARY - EAST,Calgary - East,Z2,CALGARY,2017,22.7
HSA2.3.A,CALGARY - EAST,Calgary - East,Z2,CALGARY,2018,30.6
HSA2.3.A,CALGARY - EAST,Calgary - East,Z2,CALGARY,2019,25.1
HSA2.3.A,CALGARY - EAST,Calgary - East,Z2,CALGARY,2020,26.2
HSA2.3.A,CALGARY - EAST,Calgary - East,Z2,CALGARY,All,25.7
HSA2.3.B,CALGARY - SE,Calgary - SE,Z2,CALGARY,2016,40
HSA2.3.B,CALGARY - SE,Calgary - SE,Z2,CALGARY,2017,49.6
HSA2.3.B,CALGARY - SE,Calgary - SE,Z2,CALGARY,2018,38.9
HSA2.3.B,CALGARY - SE,Calgary - SE,Z2,CALGARY,2019,43
HSA2.3.B,CALGARY - SE,Calgary - SE,Z2,CALGARY,2020,61.7
HSA2.3.B,CALGARY - SE,Calgary - SE,Z2,CALGARY,All,46.9
HSA2.4.A,CALGARY - WEST,Calgary - West,Z2,CALGARY,2016,31.3
HSA2.4.A,CALGARY - WEST,Calgary - West,Z2,CALGARY,2017,34.3
HSA2.4.A,CALGARY - WEST,Calgary - West,Z2,CALGARY,2018,40.3
HSA2.4.A,CALGARY - WEST,Calgary - West,Z2,CALGARY,2019,49.2
HSA2.4.A,CALGARY - WEST,Calgary - West,Z2,CALGARY,2020,52.6
HSA2.4.A,CALGARY - WEST,Calgary - West,Z2,CALGARY,All,41.7
HSA2.4.B,CALGARY - CENTRE,Calgary - Centre,Z2,CALGARY,2016,30.5
HSA2.4.B,CALGARY - CENTRE,Calgary - Centre,Z2,CALGARY,2017,17.3
HSA2.4.B,CALGARY - CENTRE,Calgary - Centre,Z2,CALGARY,2018,28
HSA2.4.B,CALGARY - CENTRE,Calgary - Centre,Z2,CALGARY,2019,30.6
HSA2.4.B,CALGARY - CENTRE,Calgary - Centre,Z2,CALGARY,2020,28.7
HSA2.4.B,CALGARY - CENTRE,Calgary - Centre,Z2,CALGARY,All,27.1
HSA2.4.C,CALGARY - CENTRE WEST,Calgary - Centre West,Z2,CALGARY,2016,42
HSA2.4.C,CALGARY - CENTRE WEST,Calgary - Centre West,Z2,CALGARY,2017,27.7
HSA2.4.C,CALGARY - CENTRE WEST,Calgary - Centre West,Z2,CALGARY,2018,27.4
HSA2.4.C,CALGARY - CENTRE WEST,Calgary - Centre West,Z2,CALGARY,2019,43.5
HSA2.4.C,CALGARY - CENTRE WEST,Calgary - Centre West,Z2,CALGARY,2020,63.6
HSA2.4.C,CALGARY - CENTRE WEST,Calgary - Centre West,Z2,CALGARY,All,41
HSA2.4.D,CALGARY - ELBOW,Calgary - Elbow,Z2,CALGARY,2016,34.1
HSA2.4.D,CALGARY - ELBOW,Calgary - Elbow,Z2,CALGARY,2017,56.1
HSA2.4.D,CALGARY - ELBOW,Calgary - Elbow,Z2,CALGARY,2018,36.3
HSA2.4.D,CALGARY - ELBOW,Calgary - Elbow,Z2,CALGARY,2019,45.5
HSA2.4.D,CALGARY - ELBOW,Calgary - Elbow,Z2,CALGARY,2020,35.4
HSA2.4.D,CALGARY - ELBOW,Calgary - Elbow,Z2,CALGARY,All,41.4
HSA2.4.E,CALGARY - FISH CREEK,Calgary - Fish Creek,Z2,CALGARY,2016,29.6
